   4.000  -5.74456200
   4.100  -5.74486100
   4.200  -5.74509700
   4.300  -5.74528300
   4.400  -5.74543000
   4.500  -5.74554500
   4.600  -5.74563600
   4.700  -5.74570600
   4.800  -5.74576100
   4.900  -5.74580400
   5.000  -5.74583700
   5.100  -5.74586200
   5.200  -5.74588200
   5.300  -5.74589700
   5.400  -5.74590800
   5.500  -5.74591700
   5.600  -5.74592300
   5.700  -5.74592800
   5.800  -5.74593100
   5.900  -5.74593400
   6.000  -5.74593600
   6.100  -5.74593700
   6.200  -5.74593700
   6.300  -5.74593800
   6.400  -5.74593800
   6.500  -5.74593800
   6.600  -5.74593800
   6.700  -5.74593700
   6.800  -5.74593700
   6.900  -5.74593700
   7.000  -5.74593600
   7.100  -5.74593500
   7.200  -5.74593500
   7.300  -5.74593400
   7.400  -5.74593300
   7.500  -5.74593300
   7.600  -5.74593200
   7.700  -5.74593100
   7.800  -5.74593000
   7.900  -5.74593000
   8.000  -5.74592900
   8.100  -5.74592800
   8.200  -5.74592700
   8.300  -5.74592600
   8.400  -5.74592500
   8.500  -5.74592400
   8.600  -5.74592300
   8.700  -5.74592200
   8.800  -5.74592100
   8.900  -5.74592000
   9.000  -5.74591900
   9.100  -5.74591800
   9.200  -5.74591700
   9.300  -5.74591600
   9.400  -5.74591500
   9.500  -5.74591400
   9.600  -5.74591300
   9.700  -5.74591200
   9.800  -5.74591100
   9.900  -5.74591000
  10.000  -5.74590900
