   0.30000000  -0.66129367 
   0.36190476  -0.86189367 
   0.42380952  -0.98108398 
   0.48571429  -1.05277336 
   0.54761905  -1.09520306 
   0.60952381  -1.11891113 
   0.67142857  -1.13031776 
   0.73333333  -1.13349446 
   0.79523810  -1.13110753 
   0.85714286  -1.12495068 
   0.91904762  -1.11625701 
   0.98095238  -1.10588788 
   1.04285714  -1.09445197 
   1.10476190  -1.08238305 
   1.16666667  -1.06999218 
   1.22857143  -1.05750333 
   1.29047619  -1.04507782 
   1.35238095  -1.03283134 
   1.41428571  -1.02084603 
   1.47619048  -1.00917908 
   1.53809524  -0.99786913 
   1.60000000  -0.98694099 
   1.66190476  -0.97640912 
   1.72380952  -0.96628030 
   1.78571429  -0.95655557 
   1.84761905  -0.94723174 
   1.90952381  -0.93830245 
   1.97142857  -0.92975906 
   2.03333333  -0.92159126 
   2.09523810  -0.91378758 
   2.15714286  -0.90633573 
   2.21904762  -0.89922292 
   2.28095238  -0.89243611 
   2.34285714  -0.88596217 
   2.40476190  -0.87978805 
   2.46666667  -0.87390091 
   2.52857143  -0.86828817 
   2.59047619  -0.86293763 
   2.65238095  -0.85783744 
   2.71428571  -0.85297617 
   2.77619048  -0.84834278 
   2.83809524  -0.84392667 
   2.90000000  -0.83971762 
   2.96190476  -0.83570580 
   3.02380952  -0.83188181 
   3.08571429  -0.82823662 
   3.14761905  -0.82476157 
   3.20952381  -0.82144841 
   3.27142857  -0.81828924 
   3.33333333  -0.81527652 
   3.39523810  -0.81240305 
   3.45714286  -0.80966200 
   3.51904762  -0.80704683 
   3.58095238  -0.80455134 
   3.64285714  -0.80216961 
   3.70476190  -0.79989602 
   3.76666667  -0.79772522 
   3.82857143  -0.79565211 
   3.89047619  -0.79367185 
   3.95238095  -0.79177984 
   4.01428571  -0.78997170 
   4.07619048  -0.78824325 
   4.13809524  -0.78659054 
   4.20000000  -0.78500978 
   4.26190476  -0.78349740 
   4.32380952  -0.78204996 
   4.38571429  -0.78066422 
   4.44761905  -0.77933708 
   4.50952381  -0.77806560 
   4.57142857  -0.77684696 
   4.63333333  -0.77567850 
   4.69523810  -0.77455768 
   4.75714286  -0.77348208 
   4.81904762  -0.77244941 
   4.88095238  -0.77145746 
   4.94285714  -0.77050418 
   5.00476190  -0.76958758 
   5.06666667  -0.76870578 
   5.12857143  -0.76785701 
   5.19047619  -0.76703959 
   5.25238095  -0.76625189 
   5.31428571  -0.76549242 
   5.37619048  -0.76475973 
   5.43809524  -0.76405245 
   5.50000000  -0.76336930 
   5.56190476  -0.76270906 
   5.62380952  -0.76207057 
   5.68571429  -0.76145273 
   5.74761905  -0.76085452 
   5.80952381  -0.76027496 
   5.87142857  -0.75971312 
   5.93333333  -0.75916814 
   5.99523810  -0.75863919 
   6.05714286  -0.75812550 
   6.11904762  -0.75762634 
   6.18095238  -0.75714101 
   6.24285714  -0.75666885 
   6.30476190  -0.75620926 
   6.36666667  -0.75576165 
   6.42857143  -0.75532548 
   6.49047619  -0.75490023 
   6.55238095  -0.75448540 
   6.61428571  -0.75408054 
   6.67619048  -0.75368522 
   6.73809524  -0.75329903 
   6.80000000  -0.75292157 
   6.86190476  -0.75255249 
   6.92380952  -0.75219145 
   6.98571429  -0.75183811 
   7.04761905  -0.75149217 
   7.10952381  -0.75115335 
   7.17142857  -0.75082138 
   7.23333333  -0.75049598 
   7.29523810  -0.75017693 
   7.35714286  -0.74986399 
   7.41904762  -0.74955694 
   7.48095238  -0.74925559 
   7.54285714  -0.74895973 
   7.60476190  -0.74866918 
   7.66666667  -0.74838377 
   7.72857143  -0.74810334 
   7.79047619  -0.74782772 
   7.85238095  -0.74755677 
   7.91428571  -0.74729034 
   7.97619048  -0.74702832 
   8.03809524  -0.74677056 
   8.10000000  -0.74651694 
   8.16190476  -0.74626736 
   8.22380952  -0.74602170 
   8.28571429  -0.74577985 
   8.34761905  -0.74554173 
   8.40952381  -0.74530722 
   8.47142857  -0.74507624 
   8.53333333  -0.74484870 
   8.59523810  -0.74462452 
   8.65714286  -0.74440362 
   8.71904762  -0.74418592 
   8.78095238  -0.74397134 
   8.84285714  -0.74375981 
   8.90476190  -0.74355127 
   8.96666667  -0.74334564 
   9.02857143  -0.74314287 
   9.09047619  -0.74294289 
   9.15238095  -0.74274564 
   9.21428571  -0.74255107 
   9.27619048  -0.74235911 
   9.33809524  -0.74216971 
   9.40000000  -0.74198283 
   9.46190476  -0.74179840 
   9.52380952  -0.74161639 
   9.58571429  -0.74143673 
   9.64761905  -0.74125939 
   9.70952381  -0.74108432 
   9.77142857  -0.74091148 
   9.83333333  -0.74074082 
   9.89523810  -0.74057231 
   9.95714286  -0.74040589 
  10.01904762  -0.74024154 
  10.08095238  -0.74007921 
  10.14285714  -0.73991886 
  10.20476190  -0.73976047 
  10.26666667  -0.73960399 
  10.32857143  -0.73944938 
  10.39047619  -0.73929663 
  10.45238095  -0.73914568 
  10.51428571  -0.73899652 
  10.57619048  -0.73884910 
  10.63809524  -0.73870341 
  10.70000000  -0.73855940 
  10.76190476  -0.73841705 
  10.82380952  -0.73827633 
  10.88571429  -0.73813721 
  10.94761905  -0.73799967 
  11.00952381  -0.73786367 
  11.07142857  -0.73772920 
  11.13333333  -0.73759623 
  11.19523810  -0.73746473 
  11.25714286  -0.73733467 
  11.31904762  -0.73720604 
  11.38095238  -0.73707881 
  11.44285714  -0.73695296 
  11.50476190  -0.73682847 
  11.56666667  -0.73670530 
  11.62857143  -0.73658345 
  11.69047619  -0.73646290 
  11.75238095  -0.73634361 
